ISO-3166-2 w/o prefix,State Name,Authority Name in EN,Authority Domain Name,COVID19 Daily Report Website,COVID19 Daily Report Website Language,ChiefExec,ChiefExec.NameFirst,ChiefExec.NameLast,StateOrTerritory,TaxAuth,Legislature
AL,Alabama,Alabama Department of Public Health,www.adph.org,https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7,EN,http://www.governor.alabama.gov/,Kay,Ivey,STATE,,http://www.legislature.state.al.us/aliswww/default.aspx
AK,Alaska,Alaska Department of Health and Social Services,dhss.alaska.gov,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx,EN,http://gov.state.ak.us/,Mike,Dunleavy,STATE,,http://w3.legis.state.ak.us/index.php
AS,American Samoa,American Samoa Government Department of Human and Social Services,http://dhss.as/,https://www.americansamoa.gov/covid-19-advisories,,https://www.americansamoa.gov/office-of-the-governor,Lolo Matalasi,Moliga,TERRITORY,,https://www.americansamoa.gov/legislative-branch-fono
AZ,Arizona,Arizona Department of Health Services,www.azdhs.gov/,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,EN,http://www.governor.state.az.us/,Doug,Ducey,STATE,,https://www.azleg.gov/
AR,Arkansas,Arkansas Department of Health,www.healthy.arkansas.gov,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,EN,http://www.arkansas.gov/governor/,Asa,Hutchinson,STATE,,http://www.arkleg.state.ar.us/assembly/2019/2019R/Pages/Home.aspx
CA,California,California Department of Public Health,www.cdph.ca.gov,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,EN,http://gov.ca.gov/,Gavin,Newsom,STATE,,http://leginfo.legislature.ca.gov/
CO,Colorado,Colorado Department of Public Health and Environment,www.colorado.gov/cdphe,https://covid19.colorado.gov/data,EN,http://www.colorado.gov/governor/,Jared,Polis,STATE,,http://leg.colorado.gov/
CT,Connecticut,Connecticut State Department of Public Health,www.ct.gov/dph/site/default.asp,https://portal.ct.gov/Coronavirus,EN,https://portal.ct.gov/governor/,Ned,Lamont,STATE,,https://www.cga.ct.gov/
DE,Delaware,Delaware Division of Public Health,www.dhss.delaware.gov/dhss/dph/index.html,https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html,EN,http://governor.delaware.gov/,John,Carney,STATE,,http://legis.delaware.gov/
DC,District of Columbia,District of Columbia Department of Health,doh.dc.gov/,https://coronavirus.dc.gov/page/coronavirus-surveillance-data,EN,,,,,,http://dccouncil.us/legislation
